GR;nr_modello;nome_modello;conc.;collezione;specifica;nome_modello.1;colore;ordinamento;ID Joor;Foto;fotolook;Concatena;;;;
7;154;DANIELINA     A;154DANIELINA     A;271;Cintura;DANIELINA     A;0995 0002;99;544213||99500020000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/UYF2VxPoQ860qvKKValDcQ_7478985136a1450c636a2f8_27352192_02970010XX1.jpg;https://127-foto.netlify.app/215.jpg;DANIELINA     A 0995 0002(154);;;;
7;154;NOMAGLIO      C;154NOMAGLIO      C;271;Bracciale;NOMAGLIO      C;0903 1507 0002;99;544242||90315070002;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/1L6tlfjKQ7y08YEgiUwcYQ_16376100936a1453394e2a43_07744812_02971350XX1.jpg;https://127-foto.netlify.app/215.jpg;NOMAGLIO      C 0903 1507 0002(154);;;;
7;154;IAPIGE;154IAPIGE;271;Borsa;IAPIGE;2264 0002;99;544272||226400020000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/zJZAly2zQS-u2eAs4ykTOg_16970615336a145327b51567_35646153_02970150XX1.jpg;https://127-foto.netlify.app/215.jpg;IAPIGE 2264 0002(154);;;;
7;154;USCITA;154USCITA;271;Calzature;USCITA;2264 2264;99;544431||226422640000;#N/D;https://127-foto.netlify.app/215.jpg;USCITA 2264 2264(154);;;;
7;154;NEVIGLIE;154NEVIGLIE;271;Orecchino;NEVIGLIE;0574 0927 0002;99;544457||57409270002;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/K3ZDNI-eRU-cv2BQEK5HtQ_19105815366a145340d5b679_49273593_02971610XX1.jpg;https://127-foto.netlify.app/215.jpg;NEVIGLIE 0574 0927 0002(154);;;;
7;155;VAILAN;155VAILAN;271;Giacca;VAILAN;1187;1;544050||118700000000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/5LC03SNKTjWrlGPgP1-E9A_14673133296a563519559312_92628706_03030030XX1.jpg;https://127-foto.netlify.app/160.jpg;VAILAN 1187(155);;;;
7;155;ASSE;155ASSE;271;Pantalone;ASSE;1125;5;544438||112500000000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/cZi2wFhmTz27d65PrXdssQ_13221273376a5634d15b1f14_76596401_02990200XX1.jpg;https://127-foto.netlify.app/160.jpg;ASSE 1125(155);;;;
7;155;IAPIGE;155IAPIGE;271;Borsa;IAPIGE;2339 0002;99;544272||233900020000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/cvf7J-0iQ4ecP4xpRAXFnA_4276540736a1453282dde79_10220699_02970160XX1.jpg;https://127-foto.netlify.app/160.jpg;IAPIGE 2339 0002(155);;;;
7;155;NONA;155NONA;271;Bracciale;NONA;2;99;544361||200000000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/NCVbcOEzTZ-NyeviAg7xyQ_15946604066a14533a4d6852_60896697_02971370XX4.jpg;https://127-foto.netlify.app/160.jpg;NONA 2(155);;;;
7;155;ULLANO        B;155ULLANO        B;271;Calzature;ULLANO        B;49;99;544483||4900000000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/LFbr3MrZRrm_GbSwCPZkhA_20851971266a564345dfd0b4_67912225_03050770XX1.jpg;https://127-foto.netlify.app/160.jpg;ULLANO        B 49(155);;;;
7;155;DAMIETTA;155DAMIETTA;271;Cintura;DAMIETTA;2;99;544486||200000000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/klaNMdKISpOxnwF12n9kWg_12483183316a145343c682c9_65526302_02971730XX1.jpg;https://127-foto.netlify.app/160.jpg;DAMIETTA 2(155);;;;
3;156;CASSIANO;156CASSIANO;271;Giacca;CASSIANO;1116;1;100816||111600000000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/oMvwZFnSSy6S7X9_x-fBFw_19618556636a5635295b68d9_13528539_03040160XX1.jpg;https://127-foto.netlify.app/217.jpg;CASSIANO 1116(156);;;;
3;156;CUNICOLO      E;156CUNICOLO      E;271;Top;CUNICOLO      E;1116;3;100673||111600000000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/lHdHIbHbSv-oaYHJ_qbTVQ_20733577346a56353f342678_11769132_03040600XX1.jpg;https://127-foto.netlify.app/217.jpg;CUNICOLO      E 1116(156);;;;
3;156;ADELAIDA;156ADELAIDA;271;Pantalone;ADELAIDA;1191;5;544517||119100000000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/qE6gC0PEQzqy45UAZJMZFA_14663468586a5634ca438ff7_89455674_02990060XX1.jpg;https://127-foto.netlify.app/217.jpg;ADELAIDA 1191(156);;;;
3;156;DEFALCO;156DEFALCO;271;Cintura;DEFALCO;0504 2253 0002;99;544220||50422530002;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/image (1077).png;https://127-foto.netlify.app/217.jpg;DEFALCO 0504 2253 0002(156);;;;
3;156;NILVANGE;156NILVANGE;271;Collana;NILVANGE;2266 0002;99;544246||226600020000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/cziJ_NyoSJOQhmH2Vd2S9A_3224662416a56433906e843_46721338_03050420XX1.jpg;https://127-foto.netlify.app/217.jpg;NILVANGE 2266 0002(156);;;;
3;156;IAPIGE;156IAPIGE;271;Borsa;IAPIGE;2264 0002;99;544272||226400020000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/zJZAly2zQS-u2eAs4ykTOg_16970615336a145327b51567_35646153_02970150XX1.jpg;https://127-foto.netlify.app/217.jpg;IAPIGE 2264 0002(156);;;;
3;156;UMBERINO      A;156UMBERINO      A;271;Calzature;UMBERINO      A;2339;99;544464||233900000000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/BzP2Kd-kRe-WbaI2eUQcgQ_10356781886a145333bffbe9_96445397_02971220XX1.jpg;https://127-foto.netlify.app/217.jpg;UMBERINO      A 2339(156);;;;
3;157;PRATO;157PRATO;271;Abito;PRATO;1124;7;544061||112400000000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/ueYSeSDKRTK8Cs-CQdKL2Q_20407892516a5634f7994ad0_76032302_03010290XX1.jpg;https://127-foto.netlify.app/277.jpg;PRATO 1124(157);;;;
3;157;IAPIGE;157IAPIGE;271;Borsa;IAPIGE;2339 0002;99;544272||233900020000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/cvf7J-0iQ4ecP4xpRAXFnA_4276540736a1453282dde79_10220699_02970160XX1.jpg;https://127-foto.netlify.app/277.jpg;IAPIGE 2339 0002(157);;;;
3;157;XAURORA;157XAURORA;271;Occhiali Sole;XAURORA;0101 0002;99;544317||10100020000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/fnyk7LQdQ4qYb5fy9yk4Iw_6977136496a145336c0ca77_10334535_02971290XX1.jpg;https://127-foto.netlify.app/277.jpg;XAURORA 0101 0002(157);;;;
3;157;DANTESCO      B;157DANTESCO      B;271;Cintura;DANTESCO      B;1108 0002;99;544390||110800020000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/FqPj3qiCSwK295js2HqIDw_19742520456a14533d5596b8_48521006_02971460XX1.jpg;https://127-foto.netlify.app/277.jpg;DANTESCO      B 1108 0002(157);;;;
3;157;NEVISCHIO     A;157NEVISCHIO     A;271;Orecchino;NEVISCHIO     A;2;99;544429||200000000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/DQWAE_vBS7i1YR1OzJeDhw_21086673106a1453421044e4_96117532_02971630XX1.jpg;https://127-foto.netlify.app/277.jpg;NEVISCHIO     A 2(157);;;;
3;157;UMBERINO      A;157UMBERINO      A;271;Calzature;UMBERINO      A;2339;99;544464||233900000000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/BzP2Kd-kRe-WbaI2eUQcgQ_10356781886a145333bffbe9_96445397_02971220XX1.jpg;https://127-foto.netlify.app/277.jpg;UMBERINO      A 2339(157);;;;
9;158;VERMONT;158VERMONT;271;Giacca;VERMONT;1121;1;544048||112100000000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/Jlu_3rnLTyiVAC81GpzlRw_17494297066a56351ceae304_37735082_03030090XX1.jpg;https://127-foto.netlify.app/168.jpg;VERMONT 1121(158);;;;
9;158;ANNABELLA;158ANNABELLA;271;Pantalone;ANNABELLA;1121;5;544499||112100000000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/BZlRDlkHR_KSKzkErlyLNg_7911810726a5634ceea8a52_05095882_02990160XX1.jpg;https://127-foto.netlify.app/168.jpg;ANNABELLA 1121(158);;;;
9;158;NILVANGE;158NILVANGE;271;Collana;NILVANGE;2266 0002;99;544246||226600020000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/cziJ_NyoSJOQhmH2Vd2S9A_3224662416a56433906e843_46721338_03050420XX1.jpg;https://127-foto.netlify.app/168.jpg;NILVANGE 2266 0002(158);;;;
9;158;NEMBO;158NEMBO;271;Bracciale;NEMBO;2;99;544362||200000000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/xLITR-bmTpifPcpfySI7HA_11425679496a14532a752617_68673182_02970400XX1.jpg;https://127-foto.netlify.app/168.jpg;NEMBO 2(158);;;;
9;158;IMPERATA;158IMPERATA;271;Borsa;IMPERATA;0943 0945 0002;99;544433||94309450002;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/qEyArXoZSH2DME5mP1vQtw_5092546386a564334a12169_96919034_03050320XX1.jpg;https://127-foto.netlify.app/168.jpg;IMPERATA 0943 0945 0002(158);;;;
9;158;NEVIGLIE;158NEVIGLIE;271;Orecchino;NEVIGLIE;0574 0927 0002;99;544457||57409270002;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/K3ZDNI-eRU-cv2BQEK5HtQ_19105815366a145340d5b679_49273593_02971610XX1.jpg;https://127-foto.netlify.app/168.jpg;NEVIGLIE 0574 0927 0002(158);;;;
9;158;UBINO;158UBINO;271;Calzature;UBINO;0941 0906;99;544524||94109060000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/pZjxYzakS2alqdDJaK96TA_16027437726a5643450d69d9_68998738_03050750XX1.jpg;https://127-foto.netlify.app/168.jpg;UBINO 0941 0906(158);;;;
1;159;POSIDONIA;159POSIDONIA;271;Abito;POSIDONIA;4629;7;544255||462900000000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/MWc2XJbZShahRfgiDGOKTA_6843967786a5634f63ebc78_14676019_03010260XX1.jpg;https://127-foto.netlify.app/285.jpg;POSIDONIA 4629(159);;;;
1;159;IMPERATA;159IMPERATA;271;Borsa;IMPERATA;1174 2264 0002;99;544433||117422640002;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/Pj2SRbtfRqCKR0Mxwii2bw_8265263486a56433527aa88_71522837_03050330XX1.jpg;https://127-foto.netlify.app/285.jpg;IMPERATA 1174 2264 0002(159);;;;
1;159;NEVIGLIE;159NEVIGLIE;271;Orecchino;NEVIGLIE;0212 0987 0002;99;544457||21209870002;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/pBWomEtORpmttUyUZ8p8EQ_3710773156a1453417183e8_17218047_02971620XX1.jpg;https://127-foto.netlify.app/285.jpg;NEVIGLIE 0212 0987 0002(159);;;;
1;159;ULLANO        B;159ULLANO        B;271;Calzature;ULLANO        B;49;99;544483||4900000000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/LFbr3MrZRrm_GbSwCPZkhA_20851971266a564345dfd0b4_67912225_03050770XX1.jpg;https://127-foto.netlify.app/285.jpg;ULLANO        B 49(159);;;;
1;159;DENARI        A;159DENARI        A;271;Cintura;DENARI        A;1190 2243 0002;99;544527||119022430002;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/5LbhtGMVSC-QEg4WY3qaGw_15407108866a56432ccf3923_24458432_03050080XX1.jpg;https://127-foto.netlify.app/285.jpg;DENARI        A 1190 2243 0002(159);;;;
9;160;CORA;160CORA;271;Abito;CORA;1127;7;100852||112700000000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/BCXeYrefRM-09VQJP9er-Q_12373319486a56353ac073e9_62143836_03040480XX1.jpg;https://127-foto.netlify.app/171.jpg;CORA 1127(160);;;;
9;160;NOMAGLIO      C;160NOMAGLIO      C;271;Bracciale;NOMAGLIO      C;0987 0212 0002;99;544242||98702120002;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/o4el4WDST_GAnO-UD8TmTw_4020636746a145338e3be47_39681256_02971340XX1.jpg;https://127-foto.netlify.app/171.jpg;NOMAGLIO      C 0987 0212 0002(160);;;;
